Species number,lat,lon,Distribution point
1,34.73421,101.61649,"Henan Mongolian Autonomous County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China"
2,36.661295,101.798976,"Caijiabao Township, Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China"
3,36.873167,101.855632,"Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China"
4,35.270702,101.933372,"Zeku County, Huangnan Tibetan Autonomous Prefecture, Qinghai Province, China"
5,30.066271,101.968918,"Lucheng Town, Kangding City, Ganzi Tibetan Autonomous Prefecture, Sichuan Province, China"
6,36.5243,102.03598,"Huzhu Tu Autonomous County, Haidong City, Qinghai Province, China"
7,28.55241,102.193279,"Chengxiang Town, Mianning County, Liangshan Yi Autonomous Prefecture, Sichuan Province, China"
8,31.895631,102.210102,"Markang City, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China"
9,27.863816,102.249241,"Xichang City, Liangshan Yi Autonomous Prefecture, Sichuan Province, China"
10,29.912835,102.251473,"Luqiao Town, Luding County, Ganzi Tibetan Autonomous Prefecture, Sichuan Province, China"
11,32.772409,102.558746,"Qiongxi Town, Hongyuan County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China"
12,30.060329,102.741566,"Sijing Township, Tianquan County, Ya'an City, Sichuan Province, China"
13,30.359693,102.819843,"Xinchang Township, Tianquan County, Ya'an City, Sichuan Province, China"
14,33.583449,102.964382,"Ruoergai County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China"
15,34.05587,103.22175,"Diebu County, Gannan Tibetan Autonomous Prefecture, Gansu Province, China"
16,36.739022,103.267536,"Yongdeng County, Lanzhou City, Gansu Province, China"
17,35.36973,103.70894,"Kangle County, Linxia Hui Autonomous Prefecture, Gansu Province, China"
18,36.10396,103.71878,"Anning District, Lanzhou City, Gansu Province, China"
19,36.10496,103.71678,"Anning District, Lanzhou City, Gansu Province, China"
20,31.676174,103.861656,"Fengyi Town, Mao County, Aba Tibetan and Qiang Autonomous Prefecture, Sichuan Province, China"
21,35.827974,104.123268,"Chengguan Town, Yuzhong County, Lanzhou City, Gansu Province, China"
22,36.049408,104.433632,"Chengguan Town, Yuzhong County, Lanzhou City, Gansu Province, China"
23,35.578769,104.604634,"Anding District, Dingxi City, Gansu Province, China"
24,34.718617,104.882784,"Wushan County, Tianshui City, Gansu Province, China"
25,33.386235,104.911886,"Chengjiao Township, Wudu District, Longnan City, Gansu Province, China"
26,38.871657,105.736713,"Bayanhot Town, Alxa Left Banner, Alxa League, Inner Mongolia Autonomous Region, China"
27,32.657876,105.882282,"Chaotian Town, Chaotian District, Guangyuan City, Sichuan Province, China"
28,34.57024,105.88965,"Shetang Town, Maiji District, Tianshui City, Gansu Province, China"
29,38.50808,105.91919,"Beibao Town, Xixia District, Yinchuan City, Ningxia Hui Autonomous Region, China"
30,36.27301,105.993217,"Yuanzhou District, Guyuan City, Ningxia Hui Autonomous Region, China"
31,34.81728,106.001381,"Baituo Town, Qingshui County, Tianshui City, Gansu Province, China"
32,34.361752,106.002518,"Maiji Town, Maiji District, Tianshui City, Gansu Province, China"
33,38.841042,106.013031,"Hongguang Town, Helan County, Yinchuan City, Ningxia Hui Autonomous Region, China"
34,33.76884,106.08785,"Hui County, Longnan City, Gansu Province, China"
35,35.987035,106.207591,"Kaicheng Town, Yuanzhou District, Guyuan City, Ningxia Hui Autonomous Region, China"
36,35.685814,106.260463,"Dawan Township, Jingyuan County, Guyuan City, Ningxia Hui Autonomous Region, China"
37,38.548165,106.265259,"Jinfeng District, Yinchuan City, Ningxia Hui Autonomous Region, China"
38,35.981444,106.438991,"Hechuan Township, Yuanzhou District, Guyuan City, Ningxia Hui Autonomous Region, China"
39,35.46615,106.4666,"Jingyuan County, Guyuan City, the Ningxia Hui Autonomous Region, China"
40,35.99398,106.692902,"Caomiao Township, Pengyang County, Guyuan City, Ningxia Hui Autonomous Region, China"
41,39.429241,106.714951,"Alxa Left Banner, Alxa League, Inner Mongolia Autonomous Region, China"
42,35.552934,106.745235,"Liuhu Town, Kongtong District, Pingliang City, Gansu Province, China"
43,33.717552,106.778893,"Feng County, Baoji City, Shaanxi Province, China"
44,32.329498,106.833458,"Nanjiang County, Bazhong City, Sichuan Province, China"
45,32.989084,107.074471,"Hujiaying Town, Nanzheng District, Hanzhong City, Shaanxi Province, China"
46,34.580612,107.20919,"Chengguan Town, Qianyang County, Baoji City, Shaanxi Province, China"
47,34.06361,107.336254,"Zuitou Town, Taibai County, Baoji City, Shaanxi Province, China"
