key,scientificName,latitude,longitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,inCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,gbifID,verbatimLocality,collectionCode,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,elevation,institutionKey,collectionKey,recordNumber,habitat,dataGeneralizations,http://unknown.org/recordID,municipality,county,locality,locationRemarks,rights,startDayOfYear,accessRights,higherClassification,collectionID,coordinatePrecision,organismQuantityType,type,preparations,nomenclaturalCode,institutionID,previousIdentifications,ownerInstitutionCode,reproductiveCondition,networkKeys,fieldNumber,eventID,individualCount,lifeStage,continent,higherGeography,endDayOfYear,materialSampleID,disposition,associatedSequences,taxonConceptID,elevationAccuracy,samplingProtocol,verbatimCoordinateSystem,fieldNotes,http://unknown.org/CatalogNumberNumeric,verbatimElevation,http://unknown.org/LatestDateCollected,otherCatalogNumbers,language,identificationRemarks,projectId,depth,depthAccuracy,datasetID,associatedReferences,nameAccordingTo,acceptedNameUsage,locationID,bibliographicCitation,parentNameUsage,vernacularName,taxonRemarks,establishmentMeans,georeferencedBy,georeferenceVerificationStatus,georeferenceSources,dynamicProperties,georeferenceProtocol,georeferencedDate,nomenclaturalStatus,eventRemarks,organismID,organismName,http://unknown.org/taxonRankID,http://unknown.org/species,source,http://unknown.org/recordEnteredBy,name,georeferenceRemarks,island,http://unknown.org/rights,http://unknown.org/language,http://unknown.org/rightsHolder,verbatimSRS,verbatimTaxonRank,verbatimDepth
2417344844,Pinus armandii Franch.,31.33,110.78,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:07.609+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,婀栧寳,1996,NA,NA,1996-01-01T00:00:00,NA,2022-04-27T07:34:07.609+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,Chen Zhi Duan,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6648304,NA,NA,NA,2417344844,NA,NA,6648304,NA,26831,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,鍏村北鍘?NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/2017/specimen.php?id=6648304,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,
2417356800,Pinus armandii Franch.,33.97,106.77,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:04.540+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,闄曡タ,1996,NA,NA,1996-01-01T00:00:00,NA,2022-04-27T07:34:04.540+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,寤夋案鍠勭瓑,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6612254,NA,NA,NA,2417356800,NA,NA,6612254,NA,63703,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,鍑ゅ幙,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/2017/specimen.php?id=6612254,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA
2417545034,Pinus armandii Franch.,31.37,109.62,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:05.721+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,閲嶅簡,1996,NA,NA,1996-01-01T00:00:00,NA,2022-04-27T07:34:05.721+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,Chen Zhi Duan & Feng Min,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6648303,NA,NA,NA,2417545034,NA,NA,6648303,NA,26832,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,宸邯鍘?NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/2017/specimen.php?id=6648303,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,
2417557801,Pinus armandii Franch.,33.32,105.6,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:08.858+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,鐢樿們,1996,NA,NA,1996-01-01T00:00:00,NA,2022-04-27T07:34:08.858+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,寤夋案鍠勭瓑,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6612256,NA,NA,NA,2417557801,NA,NA,6612256,NA,63702,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,搴峰幙,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/2017/specimen.php?id=6612256,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA
919588226,Pinus armandii Franch.,25.584234,100.222124,"cdround,gass84,colmano,inmafu",1b412457-43cf-4a6f-b5c2-7acf01be5977,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:48.370+00:00,2022-04-27T07:26:39.791+00:00,129,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,浜戝崡,1995,NA,NA,1995-01-01T00:00:00,NA,2022-04-27T07:26:39.791+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,Zsolt et Istvan,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6631815,NA,NA,NA,919588226,NA,NA,6631815,NA,dbf96688-b6bf-11e1-8c2f-acd112e444a7,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,澶х悊鐧芥棌鑷不宸?NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/node/79/cvh/44/b9b/6631815,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,
919588238,Pinus armandii Franch.,27.177166,99.28717,"cdround,gass84,colmano,inmafu",1b412457-43cf-4a6f-b5c2-7acf01be5977,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:48.370+00:00,2022-04-27T07:26:39.257+00:00,129,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,浜戝崡,1994,NA,NA,1994-01-01T00:00:00,NA,2022-04-27T07:26:39.257+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,Drs.Zs.Debreczy,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6631859,NA,NA,NA,919588238,NA,NA,6631859,NA,dbf94f26-b6bf-11e1-8c2f-acd112e444a7,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,缁磋タ鍌堝兂鏃忚嚜娌诲幙,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/node/79/cvh/44/504/6631859,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA
919591872,Pinus armandii Franch.,25.012526,102.700013,"cdround,gass84,colmano,inmafu",1b412457-43cf-4a6f-b5c2-7acf01be5977,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:48.370+00:00,2022-04-27T07:26:40.372+00:00,129,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,浜戝崡,1991,NA,NA,1991-01-01T00:00:00,NA,2022-04-27T07:26:40.372+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,Li Nan,NA,FALSE,WGS84,Pinopsida,CN,China,NA,6671263,NA,NA,NA,919591872,NA,NA,6671263,NA,dbb3c273-b6bf-11e1-8c2f-acd112e444a7,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,鏄嗘槑甯?澶崕灞?NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/node/79/cvh/44/769/6671263,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,,
2417653248,Pinus armandii Franch.,29.63,94.36,"gass84,colmano,inmafu",3942a8dc-9f01-420d-a829-01675dc01c73,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-24T22:52:20.107+00:00,2022-04-27T07:34:09.209+00:00,4,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,瑗胯棌,1990,NA,NA,1990-01-01T00:00:00,NA,2022-04-27T07:34:09.209+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,涓棩鑰冨療闃?NA,FALSE,WGS84,Pinopsida,CN,CN,NA,6618078,NA,NA,NA,2417653248,NA,NA,6618078,NA,57817,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,鏋楄姖鍘?NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/2017/specimen.php?id=6618078,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,,
919598162,Pinus armandii Franch.,25.674263,104.255093,"cdround,gass84,colmano,inmafu",1b412457-43cf-4a6f-b5c2-7acf01be5977,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:48.370+00:00,2022-04-27T07:26:39.839+00:00,129,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,浜戝崡,1989,NA,NA,1989-01-01T00:00:00,NA,2022-04-27T07:26:39.839+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,绾㈡按娌虫鐗╄€冨療闃?NA,FALSE,WGS84,Pinopsida,CN,CN,NA,6734632,NA,NA,NA,919598162,NA,NA,6734632,NA,db2635de-b6bf-11e1-8c2f-acd112e444a7,PE,NA,NA,NA,NA,NA,ac8eb8fc-0703-4408-8388-686764b75877,NA,NA,NA,NA,NA,NA,瀵屾簮鍘?鍗佸叓杩炲北灏忚€佸巶,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/node/79/cvh/44/998/6734632,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,,
1030762893,Pinus armandii Franch.,29.887732,110.032936,"cdround,gass84,colmano,inmafu",196ac794-b2c2-40d4-8e6a-649d0abc324d,a2fa5b68-3ebf-4845-abc5-f456d251386f,26706e39-4208-42b6-9d12-2b60b0acf1a3,CN,DWC_ARCHIVE,2022-04-22T08:38:39.568+00:00,2022-04-27T07:27:15.117+00:00,125,a2fa5b68-3ebf-4845-abc5-f456d251386f,PRESERVED_SPECIMEN,PRESENT,5285203,6,7707728,194,640,3925,2684241,5285203,5285203,Pinus armandii Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus armandii,Pinus,armandii,NA,SPECIES,ACCEPTED,LC,NA,NA,婀栧寳,1988,NA,NA,1988-01-01T00:00:00,NA,2022-04-27T07:27:15.117+00:00,NA,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,鐜嬫槧鏄?NA,FALSE,WGS84,Pinopsida,CN,CN,NA,2852319,NA,NA,NA,1030762893,NA,NA,2852319,NA,f6d49db7-b6bf-11e1-8c2f-acd112e444a7,HIB,NA,NA,NA,NA,NA,607054b2-a135-418b-a11c-d6df29e75e1c,NA,NA,NA,NA,NA,NA,楣ゅ嘲鍘?鏈ㄦ灄瀛愰噹楦″嚬,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.nsii.org.cn/node/79/cvh/28/618/2852319,NA,Pinus armandii Franch.,NA,NA,NA,NA,NA,NA,NA,NA,,
