key,scientificName,latitude,longitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,inCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,projectId,individualCount,organismName,identificationVerificationStatus,higherClassification,recordNumber,http://unknown.org/taxonRankID,taxonConceptID,http://unknown.org/species,institutionKey,collectionKey,datasetID,eventID,institutionID,locality,type,organismRemarks,networkKeys,elevation,elevationAccuracy,samplingProtocol,nomenclaturalCode,higherGeography,county,verbatimCoordinateSystem,disposition,fieldNotes,startDayOfYear,http://unknown.org/CatalogNumberNumeric,ownerInstitutionCode,verbatimElevation,collectionID,http://unknown.org/LatestDateCollected,informationWithheld,identificationRemarks,dataGeneralizations,otherCatalogNumbers,preparations,continent,nomenclaturalStatus,fieldNumber,bibliographicCitation,habitat,endDayOfYear,materialSampleID,language,vernacularName,acceptedNameUsage,georeferenceVerificationStatus,georeferenceRemarks,parentNameUsageID,acceptedNameUsageID,accessRights,parentNameUsage,infraspecificEpithet,dynamicProperties,municipality,georeferenceProtocol,eventRemarks,organismID,establishmentMeans,reproductiveCondition,verbatimIdentification,name,http://unknown.org/recordID,rights,georeferenceSources,organismQuantityType,taxonRemarks,locationID,source,coordinatePrecision,previousIdentifications,typeStatus,georeferencedBy,georeferencedDate,http://unknown.org/rights,http://unknown.org/language,http://unknown.org/rightsHolder,associatedSequences,locationAccordingTo
3712699473,Pinus roxburghii Sarg.,29.506636,79.619538,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:28:10.133+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2022-01-28T09:51:11,198,Uttarakhand,2022,1,2,2022-01-02T16:39:00,2022-03-11T12:18:48.000+00:00,2022-08-08T19:28:10.133+00:00,https://www.inaturalist.org/observations/105708068,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Ramnarayan K,Ramnarayan K,FALSE,WGS84,Pinopsida,IN,India,Ramnarayan K,105708068,ram_k,2022/01/02 4:39 PM IST,Observations,3712699473,"Blue Magpie Homestay Village Satkhol, Peora, Mukteshwar, Uttarakhand 263138, India",https://www.inaturalist.org/observations/105708068,135652,105708068,iNaturalist,11:09:00Z,wild,233963189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3872904809,Pinus roxburghii Sarg.,28.612578,77.208717,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:11:22.716+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2022-06-28T13:28:53,21,NCT of Delhi,2022,6,28,2022-06-28T16:16:22,2022-07-10T05:13:32.000+00:00,2022-08-08T19:11:22.716+00:00,https://www.inaturalist.org/observations/123826379,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Soumil,Soumil,FALSE,WGS84,Pinopsida,IN,India,Soumil,123826379,superluminal,2022-06-28 16:16:22+05:30,Observations,3872904809,"Dara Shikoh Road, New Delhi, DL, IN",https://www.inaturalist.org/observations/123826379,135652,123826379,iNaturalist,10:46:22Z,wild,274182250,Maybe? Strange to see growing in delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031952135,Pinus yunnanensis Franch.,27.102552,100.253777,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:07:29.583+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285783,6,7707728,194,640,3925,2684241,5285783,5285783,Pinus yunnanensis Franch.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus yunnanensis,Pinus,yunnanensis,SPECIES,ACCEPTED,LC,2021-01-24T12:48:46,NA,Yunnan,2021,1,2,2021-01-02T11:08:52,2021-01-27T04:29:22.000+00:00,2022-08-08T19:07:29.583+00:00,https://www.inaturalist.org/observations/67437048,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Cédric DEL RIO,Lukasz Madrzynski （孟巨石）,FALSE,WGS84,Pinopsida,CN,China,Cédric DEL RIO,67437048,cdelrio,2021-01-02 11:08:52 AM GMT+08:00,Observations,3031952135,YunnanLijiangYulong玉龙雪山风景名胜区游客中心,https://www.inaturalist.org/observations/67437048,135658,67437048,iNaturalist,03:08:52Z,wild,151895670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus yunnanensis Franch.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3039226733,Pinus roxburghii Sarg.,29.519994,79.629156,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:30:09.680+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2021-02-07T04:52:10,755,Uttarakhand,2021,2,3,2021-02-03T11:35:00,2021-02-08T11:52:32.000+00:00,2022-08-08T19:30:09.680+00:00,https://www.inaturalist.org/observations/69185604,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Ramnarayan K,Ramnarayan K,FALSE,WGS84,Pinopsida,IN,India,Ramnarayan K,69185604,ram_k,2021/02/03 11:35 AM IST,Observations,3039226733,Peora,https://www.inaturalist.org/observations/69185604,135652,69185604,iNaturalist,06:05:00Z,wild,153751608,Resin tapping grooves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3698185382,Pinus roxburghii Sarg.,29.519994,79.629156,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:07:25.461+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2021-02-06T17:34:10,755,Uttarakhand,2021,2,3,2021-02-03T10:34:00,2022-02-26T15:14:23.000+00:00,2022-08-08T19:07:25.461+00:00,https://www.inaturalist.org/observations/69149673,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,iNaturalist research-grade observations,Ramnarayan K,Ramnarayan K,FALSE,WGS84,Pinopsida,IN,India,Ramnarayan K,69149673,ram_k,2021/02/03 10:34 AM IST,Observations,3698185382,Peora,https://www.inaturalist.org/observations/69149673,135652,69149673,iNaturalist,05:04:00Z,wild,153666898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3772755411,Pinus roxburghii Sarg.,27.516995,89.982598,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:49:04.827+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2021-05-21T04:33:29,7,Wangduephodrang,2021,5,19,2021-05-19T01:54:25,2022-05-13T23:26:49.000+00:00,2022-08-08T19:49:04.827+00:00,https://www.inaturalist.org/observations/79470154,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,namgaydem,Phuentsho,FALSE,WGS84,Pinopsida,BT,Bhutan,namgaydem,79470154,namgaydem,2021-05-19 07:54:25,Observations,3772755411,"Wangdue Phodrang, Bhutan",https://www.inaturalist.org/observations/79470154,135652,79470154,iNaturalist,01:54:25Z,wild,176458780,Sticky liquid from pine tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3773065462,Pinus roxburghii Sarg.,27.0683,90.129481,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:08:45.727+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2021-10-12T07:53:21,NA,Tsirang,2021,10,12,2021-10-12T06:44:00,2022-05-13T23:26:29.000+00:00,2022-08-08T19:08:45.727+00:00,https://www.inaturalist.org/observations/97963103,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,piedbird,Phuentsho,FALSE,WGS84,Pinopsida,BT,Bhutan,piedbird,97963103,piedbird,2021/10/12 6:44 AM +0600,Observations,3773065462,"Tsirang, Bhutan",https://www.inaturalist.org/observations/97963103,135652,97963103,iNaturalist,00:44:00Z,wild,213361373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2626306541,Pinus roxburghii Sarg.,27.63494,89.80121,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:06:36.225+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2020-01-15T09:58:16,30,Punakha,2020,1,5,2020-01-05T09:47:54,2022-05-13T23:26:07.000+00:00,2022-08-08T19:06:36.225+00:00,https://www.inaturalist.org/observations/37289405,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,juii,Phuentsho,FALSE,WGS84,Pinopsida,BT,Bhutan,juii,37289405,juii,Sun Jan 05 2020 09:47:54 GMT+0600 (GMT+6),Observations,2626306541,"SNH5, Thimphu, BT",https://www.inaturalist.org/observations/37289405,135652,37289405,iNaturalist,03:47:54Z,wild,83697535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2974448558,Pinus roxburghii Sarg.,32.729725,74.902912,"cdround,cudc,osiic",7a3679ef-5582-4aaa-81f0-8c2545cafc81,da86174a-a605-43a4-a5e8-53d484152cd3,fe1a98a6-82b8-4652-86d6-d0f938207f67,FR,DWC_ARCHIVE,2022-04-23T18:30:10.064+00:00,2022-04-26T09:37:23.029+00:00,22,da86174a-a605-43a4-a5e8-53d484152cd3,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,NA,NA,NA,2020,3,2,2020-03-02T07:52:49,NA,2022-04-26T09:37:23.029+00:00,https://identify.plantnet.org/observation/the-plant-list/1008632059,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,NA,NA,NA,FALSE,WGS84,Pinopsida,IN,India,NA,o-1008632059,NA,NA,NA,2974448558,NA,o-1008632059,NA,NA,NA,NA,NA,NA,NA,observations,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3772436378,Pinus roxburghii Sarg.,27.641139,89.862178,cdround,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-08T15:02:25.997+00:00,2022-08-08T19:52:33.751+00:00,314,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285084,6,7707728,194,640,3925,2684241,5285084,5285084,Pinus roxburghii Sarg.,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus roxburghii,Pinus,roxburghii,SPECIES,ACCEPTED,LC,2020-11-24T04:18:58,18,Punakha,2020,3,25,2020-03-25T06:18:04,2022-05-13T23:27:11.000+00:00,2022-08-08T19:52:33.751+00:00,https://www.inaturalist.org/observations/65509125,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Kuenzang Dorji,Phuentsho,FALSE,WGS84,Pinopsida,BT,Bhutan,Kuenzang Dorji,65509125,natureonfocus,2020-03-25 6:18:04 AM GMT+06:00,Observations,3772436378,"Punakha, Bhutan",https://www.inaturalist.org/observations/65509125,135652,65509125,iNaturalist,00:18:04Z,wild,143263089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinus roxburghii Sarg.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
