name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,coordinateUncertaintyInMeters,elevation,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,institutionKey,collectionKey,isInCluster,recordedBy,inCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,recordNumber,habitat,verbatimEventDate,dataGeneralizations,http://unknown.org/recordID,county,municipality,locality,gbifID,collectionCode,occurrenceID,taxonID,locationRemarks,institutionCode,rights,startDayOfYear,occurrenceRemarks,accessRights,higherClassification,reproductiveCondition,collectionID,dateIdentified,datasetName,identifiedBy,http://unknown.org/nick,verbatimLocality,catalogNumber,eventTime,http://unknown.org/captive,identificationID,projectId,individualCount,preparations,informationWithheld,nomenclaturalCode,institutionID,previousIdentifications,ownerInstitutionCode,coordinatePrecision,organismQuantityType,type,datasetID,eventID,networkKeys,infraspecificEpithet,higherGeography,taxonRemarks,elevationAccuracy,fieldNotes,bibliographicCitation,georeferenceRemarks,verbatimCoordinateSystem,http://unknown.org/CatalogNumberNumeric,verbatimElevation,http://unknown.org/LatestDateCollected,source,eventRemarks,continent,georeferencedDate,georeferenceProtocol,endDayOfYear,language,georeferenceSources,dynamicProperties,identificationVerificationStatus,locationAccordingTo,identificationRemarks,georeferencedBy,georeferenceVerificationStatus,footprintWKT,organismID,identificationQualifier,http://unknown.org/recordEnteredBy,programmeAcronym,vernacularName,fieldNumber,samplingProtocol,disposition,verbatimDepth,lifeStage,materialSampleID,associatedSequences,taxonConceptID,depth,depthAccuracy,associatedReferences,nameAccordingTo,acceptedNameUsage,locationID,parentNameUsage,establishmentMeans,nomenclaturalStatus,organismName,verbatimTaxonRank,http://unknown.org/taxonRankID,http://unknown.org/species,island,http://unknown.org/rights,http://unknown.org/language,http://unknown.org/rightsHolder,verbatimSRS,typeStatus,parentNameUsageID,acceptedNameUsageID,organismRemarks,organismQuantity,originalNameUsage,http://unknown.org/license,identificationReferences,sex,earliestPeriodOrLowestSystem,geologicalContextID
Pinus tabuliformis Carrière,-104.961468,39.732207,"colmafu,inmafu",gbif,3332976414,Pinus tabuliformis Carrière,89c53edb-0fac-4118-bdc0-d70ca50953dc,36488347-eceb-40ed-b687-406f3601d8cb,ac2ad091-91eb-482d-a73f-061744da5dbf,US,DWC_ARCHIVE,2022-04-25T19:37:37Z,2022-04-26T08:00:15Z,147,96710dc8-fecb-440d-ae3e-c34ae8a9616f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,293,1643,Colorado,2021,7,12,2021-07-12,2022-01-05T15:09:02Z,2022-04-26T08:00:15Z,https://intermountainbiota.org/portal/collections/individual/index.php?occid=28088381,http://creativecommons.org/publicdomain/zero/1.0/legalcode,b4f01445-0fd2-4d04-97c1-3c7ba800d8b7,ecc505c5-cadd-4cb5-b0b6-b83b9eca4848,FALSE,"Cindy Newlander; Randy Long, Mike Kintgen, Amy Schneider",FALSE,WGS84,Pinopsida,US,United States of America,Public Domain,28088381,154,Managed garden.,7/12/2021,Permit: DenverBotanicGardens_YorkSt_Permit,urn:uuid:12494edb-1b2a-4cdb-af24-6e56a70d9d96,Denver,Denver,"Denver Botanic Gardens, 909 York Street, PlantAsia Garden",3332976414,KHD,12494edb-1b2a-4cdb-af24-6e56a70d9d96,95585,GPTALARCH,DBG,http://creativecommons.org/publicdomain/zero/1.0/,193,"Tissue sample collected. Living Collection Accession Number: 861245*1. Randy Long, Holden Arboretum ""Leveraging living collections to study plasticity in conifers"".",Public Domain,Plantae|Tracheobionta|Coniferophyta|Pinopsida|Pinales|Pinaceae|Pinus,cones,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,-104.961468,39.732207,"colmafu,inmafu",gbif,3332976492,Pinus tabuliformis Carrière,89c53edb-0fac-4118-bdc0-d70ca50953dc,36488347-eceb-40ed-b687-406f3601d8cb,ac2ad091-91eb-482d-a73f-061744da5dbf,US,DWC_ARCHIVE,2022-04-25T19:37:37Z,2022-04-26T08:00:15Z,147,96710dc8-fecb-440d-ae3e-c34ae8a9616f,PRESERVED_SPECIMEN,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,293,1643,Colorado,2021,7,22,2021-07-22,2022-01-05T15:09:02Z,2022-04-26T08:00:15Z,https://intermountainbiota.org/portal/collections/individual/index.php?occid=28088455,http://creativecommons.org/publicdomain/zero/1.0/legalcode,b4f01445-0fd2-4d04-97c1-3c7ba800d8b7,ecc505c5-cadd-4cb5-b0b6-b83b9eca4848,FALSE,Cindy Newlander,FALSE,WGS84,Pinopsida,US,United States of America,Public Domain,28088455,228,Managed garden.,7/22/2021,Permit: DenverBotanicGardens_YorkSt_Permit,urn:uuid:b339ecc9-4365-4a0b-a4e8-a1c9be85549b,Denver,Denver,"Denver Botanic Gardens, 909 York Street, Birds & Bees Walk Garden",3332976492,KHD,b339ecc9-4365-4a0b-a4e8-a1c9be85549b,95585,GBAB,DBG,http://creativecommons.org/publicdomain/zero/1.0/,203,"Tissue sample collected. Living Collection Accession Number: 052394*1. Randy Long, Holden Arboretum ""Leveraging living collections to study plasticity in conifers"".",Public Domain,Plantae|Tracheobionta|Coniferophyta|Pinopsida|Pinales|Pinaceae|Pinus,NA,ca77be98-2a59-4aa9-bfc1-5ea615f2e6b7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415455528,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T17:37:45Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,10,11,2020-10-11,2021-11-15T00:46:12Z,2022-05-02T17:37:45Z,https://www.inaturalist.org/observations/69612076,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612076,NA,NA,2020/10/11 3:42 AM PDT,NA,NA,NA,NA,NA,3415455528,Observations,https://www.inaturalist.org/observations/69612076,135667,NA,iNaturalist,NA,NA,developing seed cone,NA,NA,NA,NA,2021-02-15T10:08:54Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612076,10:42:00Z,wild,155007191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415492532,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T20:28:32Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,10,11,2020-10-11,2021-11-15T00:46:12Z,2022-05-02T20:28:32Z,https://www.inaturalist.org/observations/69612077,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612077,NA,NA,2020/10/11 3:45 AM PDT,NA,NA,NA,NA,NA,3415492532,Observations,https://www.inaturalist.org/observations/69612077,135667,NA,iNaturalist,NA,NA,NA,NA,NA,NA,NA,2021-02-15T10:08:54Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612077,10:45:00Z,wild,155007192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415405502,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T17:37:15Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,11,11,2020-11-11,2021-11-15T00:46:14Z,2022-05-02T17:37:15Z,https://www.inaturalist.org/observations/69612079,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612079,NA,NA,2020/11/11 5:29 AM PST,NA,NA,NA,NA,NA,3415405502,Observations,https://www.inaturalist.org/observations/69612079,135667,NA,iNaturalist,NA,NA,NA,NA,NA,NA,NA,2021-02-15T10:08:55Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612079,13:29:00Z,wild,155007194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415442552,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T19:07:48Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,11,11,2020-11-11,2021-11-15T00:46:13Z,2022-05-02T19:07:48Z,https://www.inaturalist.org/observations/69612078,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612078,NA,NA,2020/11/11 5:31 AM PST,NA,NA,NA,NA,NA,3415442552,Observations,https://www.inaturalist.org/observations/69612078,135667,NA,iNaturalist,NA,NA,2 needles per fascicle,NA,NA,NA,NA,2021-02-15T10:08:55Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612078,13:31:00Z,wild,155007193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415656570,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T17:37:09Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,11,11,2020-11-11,2021-11-15T00:46:16Z,2022-05-02T17:37:09Z,https://www.inaturalist.org/observations/69612081,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612081,NA,NA,2020/11/11 5:36 AM PST,NA,NA,NA,NA,NA,3415656570,Observations,https://www.inaturalist.org/observations/69612081,135667,NA,iNaturalist,NA,NA,mature cone,NA,NA,NA,NA,2021-02-15T10:08:56Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612081,13:36:00Z,wild,155007196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415663513,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T17:37:48Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,11,11,2020-11-11,2021-11-15T00:46:15Z,2022-05-02T17:37:48Z,https://www.inaturalist.org/observations/69612080,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612080,NA,NA,2020/11/11 5:32 AM PST,NA,NA,NA,NA,NA,3415663513,Observations,https://www.inaturalist.org/observations/69612080,135667,NA,iNaturalist,NA,NA,NA,NA,NA,NA,NA,2021-02-15T10:08:55Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612080,13:32:00Z,wild,155007195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,118.200692,39.624437,NA,gbif,3415694515,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,CA,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T17:37:28Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,10661,NA,Hebei,2020,11,11,2020-11-11,2021-11-15T00:46:21Z,2022-05-02T17:37:28Z,https://www.inaturalist.org/observations/69612082,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,wendizwd,FALSE,WGS84,Pinopsida,CN,China,wendizwd,69612082,NA,NA,2020/11/11 5:39 AM PST,NA,NA,NA,NA,NA,3415694515,Observations,https://www.inaturalist.org/observations/69612082,135667,NA,iNaturalist,NA,NA,NA,NA,NA,NA,NA,2021-02-15T10:08:56Z,iNaturalist research-grade observations,wendizwd,wendizwd,"Lubei District, Tangshan, Hebei, China",69612082,13:39:00Z,wild,155007198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pinus tabuliformis Carrière,116.207349,39.994529,cdround,gbif,3384626595,Pinus tabuliformis Carrière,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-05-02T14:17:24Z,2022-05-02T19:08:13Z,304,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5285359,6,7707728,194,640,3925,2684241,5285359,5285359,Pinus tabuliformis Carrière,Plantae,Tracheophyta,Pinales,Pinaceae,Pinus,Pinus tabuliformis,Pinus,tabuliformis,SPECIES,ACCEPTED,LC,805,NA,Beijing,2020,12,5,2020-12-05,2021-09-18T08:16:52Z,2022-05-02T19:08:13Z,https://www.inaturalist.org/observations/66119788,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,FALSE,Zhihan Xing,FALSE,WGS84,Pinopsida,CN,China,Zhihan Xing,66119788,NA,NA,Sat Dec 05 2020 11:34:04 GMT+0800 (GMT+8),NA,NA,NA,NA,NA,3384626595,Observations,https://www.inaturalist.org/observations/66119788,135667,NA,iNaturalist,NA,NA,NA,NA,NA,NA,NA,2021-07-01T14:42:49Z,iNaturalist research-grade observations,Yongxin Wang,zhihanxing,"香山, 北京市, CN",66119788,19:34:04Z,wild,187498542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
