name,longitude,latitude,prov,date,key
Pinus tabuliformis Carrière,-104.961468,39.732207,gbif,2021/7/12,3332976414
Pinus tabuliformis Carrière,-104.961468,39.732207,gbif,2021/7/22,3332976492
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/10/11,3415455528
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/10/11,3415492532
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/11/11,3415405502
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/11/11,3415442552
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/11/11,3415656570
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/11/11,3415663513
Pinus tabuliformis Carrière,118.200692,39.624437,gbif,2020/11/11,3415694515
Pinus tabuliformis Carrière,116.207349,39.994529,gbif,2020/12/5,3384626595
Pinus tabuliformis Carrière,116.26835,39.99968,gbif,2019/9/21,3325539322
Pinus tabuliformis Carrière,116.206589,39.995735,gbif,2018/4/19,2644103366
Pinus tabuliformis Carrière,116.206718,39.995914,gbif,2018/4/19,2644195672
Pinus tabuliformis Carrière,-120.742035,38.739731,gbif,2018/9/17,2332535614
Pinus tabuliformis Carrière,39.74073,43.759115,gbif,2018/1/1,1883357029
Pinus tabuliformis Carrière,116.201302,40.002636,gbif,2017/5/11,2644195673
Pinus tabuliformis Carrière,116.201553,40.002853,gbif,2017/5/11,2645688427
Pinus tabuliformis Carrière,116.268005,40.001038,gbif,2017/10/29,2644101833
Pinus tabuliformis Carrière,116.206787,39.993816,gbif,2017/10/13,2644244660
Pinus tabuliformis Carrière,116.268021,39.998543,gbif,2017/10/29,2645625502
Pinus tabuliformis Carrière,116.407396,39.9042,gbif,2017/10/18,3320858307
Pinus tabuliformis Carrière,116.190277,39.98856,gbif,2017/11/10,2644191493
Pinus tabuliformis Carrière,115.43165,39.96921,gbif,2012/10/1,3004141653
Pinus tabuliformis Carrière,115.43165,39.96921,gbif,2012/10/1,3004141661
Pinus tabuliformis Carrière,115.43165,39.96921,gbif,2012/10/1,3004148649
Pinus tabuliformis Carrière,115.43165,39.96921,gbif,2012/10/1,3004149658
