scientific_name,longitude,latitude
Pinus tabuliformis,103.414167,34.126944
Pinus tabuliformis,102.5675,36.855
Pinus tabuliformis,98.38,29.7
Pinus tabuliformis,102.78,31.67
Pinus tabuliformis,102.05,31.87
Pinus tabuliformis,102.54,30.91
Pinus tabuliformis,104.23,33.26
Pinus tabuliformis,101.52,29.47
Pinus tabuliformis,100.85195,27.2822
Pinus tabuliformis,102.15,36.85
Pinus tabuliformis,102.36,30.99
Pinus tabuliformis,94.83,29.97
Pinus tabuliformis,93.9,29.13
Pinus tabuliformis,102.03,30.05
Pinus tabuliformis,103.33,31.22
Pinus tabuliformis,103.7,33.97
Pinus tabuliformis,99.68448667,27.033875
Pinus tabuliformis,100.0046716,27.18034141
Pinus tabuliformis,98.69676043,28.66629739
Pinus tabuliformis,100.8002853,27.74829483
Pinus tabuliformis,99.25784818,26.32410117
Pinus tabuliformis,99.04684994,28.26354973
Pinus tabuliformis,101.61649,34.73421
Pinus tabuliformis,101.798976,36.661295
Pinus tabuliformis,101.855632,36.873167
Pinus tabuliformis,101.933372,35.270702
Pinus tabuliformis,101.968918,30.066271
Pinus tabuliformis,102.03598,36.5243
Pinus tabuliformis,102.210102,31.895631
Pinus tabuliformis,102.251473,29.912835
Pinus tabuliformis,102.558746,32.772409
Pinus tabuliformis,102.964382,33.583449
Pinus tabuliformis,103.22175,34.05587
Pinus tabuliformis,103.861656,31.676174
