name,X,Y,occID
Pinus tabuliformis Carri猫re,-143755.1656937234,3637376.445145528,1
Pinus tabuliformis Carri猫re,-212941.69081010713,3947049.6948327767,2
Pinus tabuliformis Carri猫re,-632878.9930635948,3159100.3201428386,3
NA,-408029.377793591,2876152.370544697,4
NA,-70561.09067680607,3538688.65408389,5
NA,-248693.546349493,3286123.1618891507,6
Pinus tabuliformis Carri猫re,-968186.2563340863,3217907.023558342,7
Pinus tabuliformis Carri猫re,-1066873.881620473,3133821.6830727844,8
NA,-304331.38433202193,3709977.822182049,9
NA,-280903.84133491013,3927073.155167262,10
NA,-275175.29354372766,3950852.519339807,11
NA,-273967.30319807125,3769622.133681461,12
NA,-288690.3314194815,3183483.2691375515,13
NA,-260574.3829852634,3910948.7561958604,14
NA,-259948.35039318344,3388339.1405933644,15
NA,-262262.5852813619,3165492.377789873,16
NA,-225042.35469519836,3486211.4074595254,17
NA,-185780.33662128466,3576802.4508543503,18
NA,-161339.61052667358,3629651.057574394,19
NA,-106359.8708928851,3360596.9564181995,20
Pinus tabuliformis Carri猫re,-207425.95657214336,3361611.6542585073,21
Pinus tabuliformis var. tabuliformis,-333773.720499586,3118060.0095735174,24
NA,-249496.6696450657,3947457.015266691,25
Pinus tabuliformis Carri猫re,-231963.53366214654,3276699.0004971432,26
Pinus tabuliformis var. tabuliformis,-282929.040243779,3181482.5507365377,27
Pinus tabuliformis var. tabuliformis,-156893.70704680542,3309993.207787307,28
