id,institutionCode,basisOfRecord,source,occurrenceID,catalogNumber,recordedBy,year,country,countryCode,stateProvince,county,locality,latitude,longitude,scientificName,kingdom,family,genus
5386557,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/d28/5386557,5386557,e3d65742-b6bf-11e1-8c2f-acd112e444a7,C.O.Levine,1917,CN,CN,广东,广州市,,23.1270407,113.341527,Pinus massoniana,Plantae,Pinaceae,Pinus
5386558,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/559/5386558,5386558,e3d656d5-b6bf-11e1-8c2f-acd112e444a7,C.O.Levine,1918,CN,CN,广东,东沙群岛,,,,Pinus massoniana,Plantae,Pinaceae,Pinus
5386605,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/ee2/5386605,5386605,e3d64704-b6bf-11e1-8c2f-acd112e444a7,C.O.Levine,1917,CN,CN,广东,广州市,,23.1270407,113.341527,Pinus massoniana,Plantae,Pinaceae,Pinus
6612212,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/4bd/6612212,6612212,dc1c17e0-b6bf-11e1-8c2f-acd112e444a7,周太炎,1949,CN,CN,江苏,常熟市,虞山,31.6625046,120.8336878,Pinus massoniana,Plantae,Pinaceae,Pinus
6612232,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/22e/6612232,6612232,dc1c0e44-b6bf-11e1-8c2f-acd112e444a7,,1931,CN,CN,福建,福州市,鼓山,26.0761062,119.3064058,Pinus massoniana,Plantae,Pinaceae,Pinus
6612364,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/3b9/6612364,6612364,dc1bd16c-b6bf-11e1-8c2f-acd112e444a7,T.N.Liou,1930,CN,CN,广东,东沙群岛,"Sun Yatsen University,Canton,Kwan gtung",,,Pinus massoniana var. hainanensis,Plantae,Pinaceae,Pinus
6612365,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/97b/6612365,6612365,dc1bd0fe-b6bf-11e1-8c2f-acd112e444a7,T.N.Liou,1930,CN,CN,广东,东沙群岛,"Sun Yatsen University,Canton,Kwan gtung",,,Pinus massoniana var. hainanensis,Plantae,Pinaceae,Pinus
6617622,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/03e/6617622,6617622,dc1246a8-b6bf-11e1-8c2f-acd112e444a7,,1926,CN,CN,江苏,南京市,庭园,32.0556449,118.7977409,Pinus thunbergii,Plantae,Pinaceae,Pinus
6617623,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/83f/6617623,6617623,dc1245b1-b6bf-11e1-8c2f-acd112e444a7,周太炎,1949,CN,CN,江苏,常熟市,,31.6625046,120.8336878,Pinus massoniana,Plantae,Pinaceae,Pinus
6617969,PE,PreservedSpecimen,http://www.nsii.org.cn/node/79/cvh/44/7d6/6617969,6617969,dc11a7e5-b6bf-11e1-8c2f-acd112e444a7,方文培,1940,CN,CN,四川,峨眉山市,峨眉山,29.4961191,103.3985889,Pinus massoniana,Plantae,Pinaceae,Pinus
