ID,Site name,Longitude,Latitude,Altitude,Pinus
1,Aibi,82.80 ,45.00 ,194,0.0000 
2,Aibi ZK00B,82.93 ,44.65 ,195,0.0000 
3,Ali 1,90.62 ,31.96 ,4450,2.8249 
4,Ali 2,90.66 ,31.95 ,4585,1.7910 
5,Ali 3,90.62 ,31.96 ,4450,4.7619 
6,Ali 4,90.46 ,31.98 ,4520,3.6474 
7,Ali 5,90.73 ,31.96 ,4570,2.5316 
8,Angren ,87.40 ,29.20 ,4300,3.8793 
9,Aqikekule,89.00 ,36.67 ,4680,0.0000 
10,Baihe,115.85 ,40.87 ,865,1.7241 
11,Baihua Mt 01,115.60 ,39.90 ,1980,5.3975 
12,Baihua Mt 02,115.60 ,39.90 ,1900,17.5442 
13,Baihua Mt 03,115.60 ,39.90 ,1900,3.2502 
14,Baihua Mt 04,115.60 ,39.90 ,1820,3.7433 
15,Baihua Mt 05,115.60 ,39.90 ,1720,14.6335 
16,Baihua Mt 06,115.60 ,39.90 ,1600,4.8332 
17,Baihua Mt 07,115.60 ,39.90 ,1500,19.5877 
18,Baihua Mt 08,115.60 ,39.90 ,1420,5.4016 
19,Baihua Mt 09,115.60 ,39.90 ,1400,22.2216 
20,Baihua Mt 10,115.60 ,39.90 ,1340,9.1278 
21,Baiyangdian 1,116.03 ,38.87 ,20,2.5641 
22,Baiyangdian 2,116.03 ,38.87 ,20,4.5603 
23,Baiyangdian 3,116.03 ,38.87 ,20,4.8780 
24,Baiyangdian 4,116.03 ,38.87 ,20,3.9474 
25,Baiyangdian 5,116.03 ,38.87 ,20,6.3158 
26,Baiyangdian 6,116.03 ,38.87 ,20,14.0541 
27,Bakeyao,122.20 ,42.92 ,155,14.5833 
28,Balikun Lake,92.80 ,43.70 ,2027,0.0000 
29,Bao Qing 1,132.07 ,45.95 ,272,0.9317 
30,Bao Qing 2,132.07 ,45.95 ,272,0.8929 
31,Bao Qing 3,132.07 ,45.95 ,272,16.5354 
32,Bao Qing 4-7,132.07 ,45.95 ,272,9.4118 
33,Bao Qing 5-7,131.73 ,45.58 ,388,18.7500 
34,Bao Qing 6-7,131.73 ,45.58 ,388,0.0000 
35,Bao Qing 7,132.08 ,46.68 ,190,0.0000 
36,Bao Qing 8,132.08 ,46.68 ,190,0.3344 
37,Baxi 1,103.02 ,33.55 ,3500,1.9157 
38,Baxi 2,103.02 ,33.55 ,3500,5.6641 
39,Baxi 3,103.02 ,33.55 ,3500,4.2105 
40,Baxi 4,103.02 ,33.55 ,3500,29.8913 
41,Baxi 5,103.02 ,33.55 ,3500,2.7730 
42,Baxi 6,103.02 ,33.55 ,3500,1.7613 
43,Baxi 7,103.02 ,33.55 ,3500,1.0671 
44,Beikan,121.10 ,32.30 ,22,5.7143 
45,Beilikekule,88.50 ,37.05 ,4250,6.0606 
