No.,Site,Site name,Longitude (°E),Latitude (°N),Elevation (m),Pinus松属,Pinus Diploxylon松属(双维管束),Pinus Haploxylon松属(单维管束),Pinus + Picea松属+云衫属,Pinus + Picea + Abies松属+云杉属+冷杉属,Pinus koraiensis红松,Pinus pumila偃松,Pinus sylvestris var mongolica樟子松
1,艾比湖,Aibi Lake,82.800 ,45.000 ,194 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2,艾比湖 ZK00B,Aibi Lake ZK00B,82.933 ,44.650 ,195 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
3,阿拉善高原-00-02,Alashan-00-02,100.583 ,41.718 ,910 ,0.00 ,0.44 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
4,阿拉善高原-00-04,Alashan-00-04,101.034 ,42.340 ,910 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
5,阿拉善高原-00-05,Alashan-00-05,100.965 ,42.352 ,900 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
6,阿拉善高原-00-06,Alashan-00-06,100.850 ,42.166 ,930 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
7,阿拉善高原-00-07,Alashan-00-07,102.900 ,42.108 ,1000 ,0.00 ,0.82 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
8,阿拉善高原-00-09,Alashan-00-09,102.513 ,41.942 ,1100 ,0.00 ,0.81 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
9,阿拉善高原-00-12,Alashan-00-12,101.567 ,42.108 ,1000 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
10,阿拉善高原-00-15,Alashan-00-15,100.420 ,41.792 ,960 ,0.00 ,0.34 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
11,阿拉善高原-00-16,Alashan-00-16,100.212 ,41.780 ,960 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
